   2)   Xorg-1758    |               |  redraw_screen() {
   2)   Xorg-1758    |   0.130 us    |    is_console_locked();
   2)   Xorg-1758    |               |    con_is_visible() {
   2)   Xorg-1758    |   0.096 us    |      is_console_locked();
   2)   Xorg-1758    |   0.502 us    |    }
   2)   Xorg-1758    |               |    hide_cursor() {
   2)   Xorg-1758    |   0.156 us    |      vc_is_sel();
   2)   Xorg-1758    |               |      fbcon_cursor() {
   2)   Xorg-1758    |   0.582 us    |        __msecs_to_jiffies();
   2)   Xorg-1758    |   1.070 us    |      }
   2)   Xorg-1758    |   2.148 us    |    }
   2)   Xorg-1758    |               |    con_is_visible() {
   2)   Xorg-1758    |   0.093 us    |      is_console_locked();
   2)   Xorg-1758    |   0.277 us    |    }
   2)   Xorg-1758    |               |    save_screen() {
   2)   Xorg-1758    |   0.099 us    |      is_console_locked();
   2)   Xorg-1758    |   0.473 us    |    }
   2)   Xorg-1758    |               |    set_origin() {
   2)   Xorg-1758    |   0.102 us    |      is_console_locked();
   2)   Xorg-1758    |               |      con_is_visible() {
   2)   Xorg-1758    |   0.093 us    |        is_console_locked();
   2)   Xorg-1758    |   0.275 us    |      }
   2)   Xorg-1758    |   0.675 us    |    }
   2)   Xorg-1758    |               |    sysfs_notify() {
   2)   Xorg-1758    |   0.312 us    |      kernfs_get();
   2)   Xorg-1758    |               |      kernfs_find_and_get_ns() {
   2)   Xorg-1758    |               |        mutex_lock() {
   2)   Xorg-1758    |               |          _cond_resched() {
   2)   Xorg-1758    |               |            rcu_note_context_switch() {
   2)   Xorg-1758    |   0.101 us    |              rcu_qs();
   2)   Xorg-1758    |   0.283 us    |            }
   2)   Xorg-1758    |   0.100 us    |            _raw_spin_lock();
   2)   Xorg-1758    |   0.105 us    |            update_rq_clock();
   2)   Xorg-1758    |               |            pick_next_task_fair() {
   2)   Xorg-1758    |   0.101 us    |              update_curr();
   2)   Xorg-1758    |   0.091 us    |              check_cfs_rq_runtime();
   2)   Xorg-1758    |               |              pick_next_entity() {
   2)   Xorg-1758    |   0.099 us    |                wakeup_preempt_entity.isra.0();
   2)   Xorg-1758    |   0.117 us    |                clear_buddies();
   2)   Xorg-1758    |   0.502 us    |              }
   2)   Xorg-1758    |               |              pick_next_entity() {
   2)   Xorg-1758    |   0.099 us    |                clear_buddies();
   2)   Xorg-1758    |   0.290 us    |              }
   2)   Xorg-1758    |               |              put_prev_entity() {
   2)   Xorg-1758    |               |                update_curr() {
   2)   Xorg-1758    |   0.100 us    |                  update_min_vruntime();
   2)   Xorg-1758    |   0.238 us    |                  cpuacct_charge();
   2)   Xorg-1758    |               |                  __cgroup_account_cputime() {
